dataset_iri,dataset_id,title,provider,description,spatial,modified,page,periodicity,start,end,keywords_all
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Bilance_meziokresni_vyjizdky_do_zamestnani_podle_vysledku_scitani_2011,170242,Bilance meziokresní vyjížďky do zaměstnání podle výsledků sčítání 2011,Český statistický úřad,"Datová sada obsahuje statistické údaje o počtu vyjíždějících osob za jednotlivé okresy a Hlavní město Prahu, jejichž pracoviště bylo v rozhodný okamžik sčítání (26. 3. 2011) v jiné obci než byla obec obvyklého pobytu.  Jedná se tedy o vyjížďku mezi okresy České republiky, včetně vyjížďky do Hlavního města Prahy a do zahraničí.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107516/f4224f10-d886-776f-4913-99fff1d363e5/170242-17dds.htm,NEVER,15059.0,15059.0,"vyjížďka, vyjížďka do zaměstnání, Sčítání lidu domů a bytů"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2004,290038r05,"Cizinci podle státního občanství, věku a pohlaví - rok 2004",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,12418.0,12783.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2005,290038r06,"Cizinci podle státního občanství, věku a pohlaví - rok 2005",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,12784.0,13148.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2006,290038r07,"Cizinci podle státního občanství, věku a pohlaví - rok 2006",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,13149.0,13513.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2007,290038r08,"Cizinci podle státního občanství, věku a pohlaví - rok 2007",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,13514.0,13878.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2008,290038r09,"Cizinci podle státního občanství, věku a pohlaví - rok 2008",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,13879.0,14244.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2009,290038r10,"Cizinci podle státního občanství, věku a pohlaví - rok 2009",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,14245.0,14609.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2010,290038r11,"Cizinci podle státního občanství, věku a pohlaví - rok 2010",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,14610.0,14974.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2011,290038r12,"Cizinci podle státního občanství, věku a pohlaví - rok 2011",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,14975.0,15339.0,"Cizinec, státní občanství"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Cizinci_podle_statniho_obcanstvi_veku_a_pohlavi_rok_2012,290038r13,"Cizinci podle státního občanství, věku a pohlaví - rok 2012",Český statistický úřad,"Datová sada obsahuje statistické údaje o počtech cizinců (bez azylantů, s pobytem přechodným, dlouhodobým, pobytem trvalým a dlouhodobým vízem) v České republice, a v členění podle pohlaví, pětiletých věkových skupin a státního občanství cizince. Údaje jsou k dispozici za okresy České republiky. Připraveny jsou rovněž úhrny za Českou republiku, všechna státní občanství, pohlaví i věkové skupiny.",https://linked.cuzk.cz/resource/ruian/ST/1,19902.0,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,R/P1Y,15340.0,15705.0,"Cizinec, státní občanství"
